Parameter tuning of ¡®knn.wrapper¡¯:
539 0.093 1.50 0.2786679 0.01813760
540 0.094 1.50 0.2786679 0.01813760
541 0.095 1.50 0.2786679 0.01813760
542 0.096 1.50 0.2786679 0.01813760
543 0.097 1.50 0.2791581 0.01763027
544 0.098 1.50 0.2801458 0.01696494
545 0.099 1.50 0.2806289 0.01763345
546 0.100 1.50 0.2806289 0.01763345
547 0.010 1.75 0.2676734 0.02372747
548 0.011 1.75 0.2677194 0.02478570
549 0.012 1.75 0.2638441 0.02353992
550 0.013 1.75 0.2648206 0.02360970
551 0.014 1.75 0.2653624 0.02247674
552 0.015 1.75 0.2668902 0.01677066
553 0.016 1.75 0.2657689 0.02030843
554 0.017 1.75 0.2696868 0.02233170
555 0.018 1.75 0.2676760 0.02295736
556 0.019 1.75 0.2656873 0.02128682
557 0.020 1.75 0.2651471 0.02226486
558 0.021 1.75 0.2641926 0.02056490
559 0.022 1.75 0.2627170 0.02048114
560 0.023 1.75 0.2627508 0.02046661
561 0.024 1.75 0.2642026 0.02121728
562 0.025 1.75 0.2641909 0.02093956
563 0.026 1.75 0.2645407 0.02537282
564 0.027 1.75 0.2665434 0.02579236
565 0.028 1.75 0.2664981 0.02877982
566 0.029 1.75 0.2650200 0.02947084
567 0.030 1.75 0.2644637 0.03128269
568 0.031 1.75 0.2654215 0.03006312
569 0.032 1.75 0.2674126 0.02759125
570 0.033 1.75 0.2658618 0.02739748
571 0.034 1.75 0.2679171 0.02380829
572 0.035 1.75 0.2674292 0.02342898
573 0.036 1.75 0.2663825 0.02326105
574 0.037 1.75 0.2639807 0.02226373
575 0.038 1.75 0.2634544 0.02374653
576 0.039 1.75 0.2655371 0.02279789
577 0.040 1.75 0.2650493 0.02243374
578 0.041 1.75 0.2680136 0.02248877
579 0.042 1.75 0.2679308 0.02401323
580 0.043 1.75 0.2674454 0.02398382
581 0.044 1.75 0.2659959 0.02376950
582 0.045 1.75 0.2660475 0.02313012
583 0.046 1.75 0.2680045 0.02347181
584 0.047 1.75 0.2685749 0.02269222
585 0.048 1.75 0.2675988 0.02279824
586 0.049 1.75 0.2677053 0.01855440
587 0.050 1.75 0.2677197 0.01728443
588 0.051 1.75 0.2682390 0.01714578
589 0.052 1.75 0.2682390 0.01758522
590 0.053 1.75 0.2667944 0.01771622
591 0.054 1.75 0.2677754 0.01623506
592 0.055 1.75 0.2664078 0.01677787
593 0.056 1.75 0.2673904 0.01666702
594 0.057 1.75 0.2678782 0.01660902
595 0.058 1.75 0.2693562 0.01693063
596 0.059 1.75 0.2682862 0.01756286
597 0.060 1.75 0.2692409 0.01846483
598 0.061 1.75 0.2667521 0.01810203
599 0.062 1.75 0.2662546 0.01811223
600 0.063 1.75 0.2662546 0.01811223
601 0.064 1.75 0.2672352 0.01765668
602 0.065 1.75 0.2672210 0.02052337
603 0.066 1.75 0.2677436 0.01942090
604 0.067 1.75 0.2677412 0.01923917
605 0.068 1.75 0.2682387 0.01860460
606 0.069 1.75 0.2692215 0.01924078
607 0.070 1.75 0.2697191 0.01870980
608 0.071 1.75 0.2697191 0.01870980
609 0.072 1.75 0.2701997 0.01958447
610 0.073 1.75 0.2712246 0.01887698
611 0.074 1.75 0.2717124 0.01871507
612 0.075 1.75 0.2727490 0.01781483
613 0.076 1.75 0.2737343 0.01719963
614 0.077 1.75 0.2752638 0.01672738
615 0.078 1.75 0.2747927 0.01698536
616 0.079 1.75 0.2752689 0.01679795
617 0.080 1.75 0.2757664 0.01714168
618 0.081 1.75 0.2762495 0.01778994
619 0.082 1.75 0.2762495 0.01778994
620 0.083 1.75 0.2762495 0.01778994
621 0.084 1.75 0.2767279 0.01746000
622 0.085 1.75 0.2767279 0.01746000
623 0.086 1.75 0.2772064 0.01725687
624 0.087 1.75 0.2767064 0.01771616
625 0.088 1.75 0.2767064 0.01771616
626 0.089 1.75 0.2772039 0.01737635
627 0.090 1.75 0.2777016 0.01700106
628 0.091 1.75 0.2781895 0.01708192
629 0.092 1.75 0.2781895 0.01708192
630 0.093 1.75 0.2786679 0.01813760
631 0.094 1.75 0.2786679 0.01813760
632 0.095 1.75 0.2786679 0.01813760
633 0.096 1.75 0.2786679 0.01813760
634 0.097 1.75 0.2791581 0.01763027
635 0.098 1.75 0.2801458 0.01696494
636 0.099 1.75 0.2806289 0.01763345
637 0.100 1.75 0.2806289 0.01763345
638 0.010 2.00 0.2682242 0.02565306
639 0.011 2.00 0.2658735 0.02470856
640 0.012 2.00 0.2657814 0.02636724
641 0.013 2.00 0.2667360 0.02296993
642 0.014 2.00 0.2672148 0.02049114
643 0.015 2.00 0.2645766 0.02443052
644 0.016 2.00 0.2665003 0.02446049
645 0.017 2.00 0.2649348 0.02671960
646 0.018 2.00 0.2634558 0.02754893
647 0.019 2.00 0.2641252 0.02500355
648 0.020 2.00 0.2607622 0.02156003
649 0.021 2.00 0.2607278 0.02128264
650 0.022 2.00 0.2617742 0.01857887
651 0.023 2.00 0.2642571 0.01917193
652 0.024 2.00 0.2647099 0.02061443
653 0.025 2.00 0.2656334 0.02426195
654 0.026 2.00 0.2670390 0.02611723
655 0.027 2.00 0.2660981 0.02469916
656 0.028 2.00 0.2661374 0.02625310
657 0.029 2.00 0.2661040 0.02835830
658 0.030 2.00 0.2671266 0.02840658
659 0.031 2.00 0.2666791 0.02477776
660 0.032 2.00 0.2676407 0.02611069
661 0.033 2.00 0.2685342 0.02463347
662 0.034 2.00 0.2690967 0.02033605
663 0.035 2.00 0.2709379 0.02252048
664 0.036 2.00 0.2708650 0.02254586
665 0.037 2.00 0.2689272 0.02260615
666 0.038 2.00 0.2668954 0.02548118
667 0.039 2.00 0.2679434 0.02468592
668 0.040 2.00 0.2670380 0.02295505
669 0.041 2.00 0.2685910 0.02007177
670 0.042 2.00 0.2685833 0.02115601
671 0.043 2.00 0.2700618 0.02017853
672 0.044 2.00 0.2696280 0.01906157
673 0.045 2.00 0.2691819 0.01982310
674 0.046 2.00 0.2705924 0.02081721
675 0.047 2.00 0.2700483 0.02137977
676 0.048 2.00 0.2685865 0.02273268
677 0.049 2.00 0.2681224 0.02196396
678 0.050 2.00 0.2702174 0.01789255
679 0.051 2.00 0.2677317 0.01797413
680 0.052 2.00 0.2692292 0.01781184
681 0.053 2.00 0.2662479 0.01849922
682 0.054 2.00 0.2672216 0.01763634
683 0.055 2.00 0.2678717 0.01546740
684 0.056 2.00 0.2678806 0.01649025
685 0.057 2.00 0.2678879 0.01576903
686 0.058 2.00 0.2698537 0.01597953
687 0.059 2.00 0.2687624 0.01757862
688 0.060 2.00 0.2692409 0.01846483
689 0.061 2.00 0.2667521 0.01810203
690 0.062 2.00 0.2662546 0.01811223
691 0.063 2.00 0.2662546 0.01811223
692 0.064 2.00 0.2667376 0.01844354
693 0.065 2.00 0.2677112 0.02038460
694 0.066 2.00 0.2687313 0.01919291
695 0.067 2.00 0.2677412 0.01923917
696 0.068 2.00 0.2677412 0.01923917
697 0.069 2.00 0.2687240 0.01988238
698 0.070 2.00 0.2697191 0.01870980
699 0.071 2.00 0.2697191 0.01870980
700 0.072 2.00 0.2697021 0.01940958
701 0.073 2.00 0.2712149 0.01857704
702 0.074 2.00 0.2712149 0.01857704
703 0.075 2.00 0.2722515 0.01770218
704 0.076 2.00 0.2727393 0.01764809
705 0.077 2.00 0.2752638 0.01672738
706 0.078 2.00 0.2747927 0.01698536
707 0.079 2.00 0.2752689 0.01679795
708 0.080 2.00 0.2757664 0.01714168
709 0.081 2.00 0.2757664 0.01714168
710 0.082 2.00 0.2762495 0.01778994
711 0.083 2.00 0.2762495 0.01778994
712 0.084 2.00 0.2767279 0.01746000
713 0.085 2.00 0.2767279 0.01746000
714 0.086 2.00 0.2772064 0.01725687
715 0.087 2.00 0.2767064 0.01771616
716 0.088 2.00 0.2767064 0.01771616
717 0.089 2.00 0.2772039 0.01737635
718 0.090 2.00 0.2777016 0.01700106
719 0.091 2.00 0.2781895 0.01708192
720 0.092 2.00 0.2781895 0.01708192
721 0.093 2.00 0.2786679 0.01813760
722 0.094 2.00 0.2786679 0.01813760
723 0.095 2.00 0.2786679 0.01813760
724 0.096 2.00 0.2786679 0.01813760
725 0.097 2.00 0.2791581 0.01763027
726 0.098 2.00 0.2801458 0.01696494
727 0.099 2.00 0.2806289 0.01763345
728 0.100 2.00 0.2806289 0.01763345
 





Regression tree:
rpart(formula = Default ~ ., data = german.train)

Variables actually used in tree construction:
 [1] amount          checkingstatus1 checkingstatus2 duration       
 [5] employ3         housing1        housing2        others1        
 [9] property1       purpose4        purpose9        tele           

Root node error: 101.67/500 = 0.20334

n= 500 

         CP nsplit rel error  xerror     xstd
1  0.086069      0   1.00000 1.00164 0.042917
2  0.068477      1   0.91393 0.95534 0.046167
3  0.035648      2   0.84545 0.86761 0.043361
4  0.035318      3   0.80981 0.88379 0.047407
5  0.022778      4   0.77449 0.88226 0.050270
6  0.017704      6   0.72893 0.95665 0.057180
7  0.017556      7   0.71123 0.94470 0.057863
8  0.016400      8   0.69367 0.94085 0.058122
9  0.014531     10   0.66087 0.94118 0.059678
10 0.014186     11   0.64634 0.93958 0.060540
11 0.013934     12   0.63215 0.93946 0.060660
12 0.012969     14   0.60429 0.95771 0.061872
13 0.011334     15   0.59132 0.96140 0.062947
14 0.010000     16   0.57998 0.96609 0.064725






Call:
glm(formula = Default ~ ., family = "binomial", data = german)

Deviance Residuals: 
    Min       1Q   Median       3Q      Max  
-2.2367  -0.6981  -0.3702   0.6936   2.7587  

Coefficients:
                  Estimate Std. Error z value Pr(>|z|)    
(Intercept)     -6.317e+00  1.669e+00  -3.784 0.000154 ***
checkingstatus1  1.774e+00  2.353e-01   7.539 4.73e-14 ***
checkingstatus2  1.382e+00  2.346e-01   5.890 3.86e-09 ***
checkingstatus3  7.836e-01  3.840e-01   2.041 0.041266 *  
duration         2.826e-02  9.355e-03   3.021 0.002519 ** 
history1         1.496e+00  4.446e-01   3.366 0.000764 ***
history2         1.649e+00  4.498e-01   3.667 0.000246 ***
history3         9.328e-01  2.724e-01   3.424 0.000618 ***
history4         5.565e-01  3.386e-01   1.643 0.100320    
purpose1         1.530e+00  7.803e-01   1.961 0.049859 *  
purpose2        -1.282e-01  8.137e-01  -0.158 0.874789    
purpose3         7.950e-01  7.883e-01   1.008 0.313233    
purpose4         6.613e-01  7.885e-01   0.839 0.401624    
purpose5         1.031e+00  1.088e+00   0.948 0.343247    
purpose6         1.352e+00  9.302e-01   1.454 0.146068    
purpose7         1.642e+00  8.487e-01   1.934 0.053090 .  
purpose8        -3.927e-01  1.401e+00  -0.280 0.779238    
purpose9         8.387e-01  8.070e-01   1.039 0.298657    
amount           1.213e-04  4.402e-05   2.755 0.005868 ** 
savings1         9.860e-01  2.646e-01   3.726 0.000195 ***
savings2         6.365e-01  3.528e-01   1.804 0.071211 .  
savings3         6.001e-01  4.522e-01   1.327 0.184461    
savings4        -4.591e-01  5.783e-01  -0.794 0.427282    
employ1          8.553e-02  3.805e-01   0.225 0.822159    
employ2          2.855e-01  2.968e-01   0.962 0.335982    
employ3          1.944e-03  2.541e-01   0.008 0.993894    
employ4         -5.351e-01  3.077e-01  -1.739 0.081976 .  
installment1    -9.342e-01  3.015e-01  -3.098 0.001947 ** 
installment2    -6.705e-01  2.331e-01  -2.876 0.004025 ** 
installment3    -3.078e-01  2.547e-01  -1.209 0.226837    
status1          3.759e-01  4.564e-01   0.824 0.410079    
status2          1.059e-01  3.177e-01   0.333 0.738863    
status3         -4.692e-01  3.194e-01  -1.469 0.141761    
others1          9.733e-01  4.256e-01   2.287 0.022222 *  
others2          1.407e+00  5.722e-01   2.459 0.013918 *  
residence1      -4.063e-01  3.007e-01  -1.351 0.176606    
residence2       3.598e-01  2.256e-01   1.595 0.110681    
residence3       1.327e-01  2.748e-01   0.483 0.629093    
property1       -7.212e-01  4.278e-01  -1.686 0.091847 .  
property2       -4.409e-01  4.171e-01  -1.057 0.290517    
property3       -5.546e-01  4.077e-01  -1.360 0.173775    
age             -1.307e-02  9.250e-03  -1.413 0.157651    
otherplans1      6.507e-01  2.396e-01   2.716 0.006603 ** 
otherplans2      5.738e-01  3.794e-01   1.512 0.130488    
housing1         6.002e-01  4.838e-01   1.241 0.214701    
housing2         1.524e-01  4.600e-01   0.331 0.740373    
cards1          -4.186e-01  1.072e+00  -0.391 0.696135    
cards2          -9.938e-03  1.069e+00  -0.009 0.992584    
cards3          -1.915e-01  1.194e+00  -0.160 0.872628    
liable          -2.609e-01  2.496e-01  -1.045 0.295929    
tele             2.919e-01  1.910e-01   1.529 0.126310    
foreign          1.465e+00  6.261e-01   2.340 0.019277 *  
---
Signif. codes:  0 ¡®***¡¯ 0.001 ¡®**¡¯ 0.01 ¡®*¡¯ 0.05 ¡®.¡¯ 0.1 ¡® ¡¯ 1

(Dispersion parameter for binomial family taken to be 1)

    Null deviance: 1221.73  on 999  degrees of freedom
Residual deviance:  887.95  on 948  degrees of freedom
AIC: 991.95

Number of Fisher Scoring iterations: 5

# Unavailable explanatory valiables :
# purpose, savings, employ, status, residence, property,
# age, housing, cards, liable, tele



Call:
glm(formula = Default ~ checkingstatus1 + checkingstatus2 + checkingstatus3 + 
    duration + history1 + history2 + history3 + history4 + amount + 
    installment1 + installment2 + installment3 + others1 + others2 + 
    otherplans1 + otherplans2 + foreign, family = "binomial", 
    data = german)

Deviance Residuals: 
    Min       1Q   Median       3Q      Max  
-2.0881  -0.7924  -0.4612   0.8880   2.5039  

Coefficients:
                  Estimate Std. Error z value Pr(>|z|)    
(Intercept)     -5.302e+00  7.403e-01  -7.162 7.97e-13 ***
checkingstatus1  1.985e+00  2.106e-01   9.427  < 2e-16 ***
checkingstatus2  1.463e+00  2.125e-01   6.885 5.79e-12 ***
checkingstatus3  8.771e-01  3.586e-01   2.446 0.014441 *  
duration         2.399e-02  8.275e-03   2.899 0.003743 ** 
history1         1.596e+00  4.031e-01   3.960 7.50e-05 ***
history2         1.264e+00  3.744e-01   3.378 0.000731 ***
history3         6.771e-01  1.977e-01   3.425 0.000615 ***
history4         5.481e-01  3.078e-01   1.781 0.074958 .  
amount           5.896e-05  3.664e-05   1.609 0.107601    
installment1    -5.607e-01  2.679e-01  -2.093 0.036328 *  
installment2    -5.033e-01  2.104e-01  -2.392 0.016752 *  
installment3    -2.671e-01  2.334e-01  -1.144 0.252533    
others1          9.842e-01  3.904e-01   2.521 0.011695 *  
others2          1.548e+00  5.293e-01   2.925 0.003447 ** 
otherplans1      4.947e-01  2.231e-01   2.217 0.026608 *  
otherplans2      3.172e-01  3.533e-01   0.898 0.369274    
foreign          1.217e+00  6.045e-01   2.014 0.044049 *  
---
Signif. codes:  0 ¡®***¡¯ 0.001 ¡®**¡¯ 0.01 ¡®*¡¯ 0.05 ¡®.¡¯ 0.1 ¡® ¡¯ 1

(Dispersion parameter for binomial family taken to be 1)

    Null deviance: 1221.7  on 999  degrees of freedom
Residual deviance:  992.9  on 982  degrees of freedom
AIC: 1028.9

Number of Fisher Scoring iterations: 5

# Unavailable explanatory valiables : amount



Call:
glm(formula = Default ~ checkingstatus1 + checkingstatus2 + checkingstatus3 + 
    duration + history1 + history2 + history3 + history4 + installment1 + 
    installment2 + installment3 + others1 + others2 + otherplans1 + 
    otherplans2 + foreign, family = "binomial", data = german)

Deviance Residuals: 
    Min       1Q   Median       3Q      Max  
-1.9605  -0.7892  -0.4602   0.8662   2.5307  

Coefficients:
                 Estimate Std. Error z value Pr(>|z|)    
(Intercept)     -5.321726   0.733108  -7.259 3.90e-13 ***
checkingstatus1  1.973010   0.209996   9.395  < 2e-16 ***
checkingstatus2  1.470084   0.212150   6.929 4.22e-12 ***
checkingstatus3  0.831015   0.356657   2.330 0.019806 *  
duration         0.032382   0.006465   5.009 5.48e-07 ***
history1         1.621713   0.400869   4.045 5.22e-05 ***
history2         1.247295   0.374332   3.332 0.000862 ***
history3         0.661434   0.196932   3.359 0.000783 ***
history4         0.549507   0.308249   1.783 0.074640 .  
installment1    -0.411862   0.249754  -1.649 0.099133 .  
installment2    -0.406049   0.201050  -2.020 0.043420 *  
installment3    -0.213033   0.230914  -0.923 0.356236    
others1          1.026018   0.389985   2.631 0.008515 ** 
others2          1.637860   0.525466   3.117 0.001827 ** 
otherplans1      0.499800   0.222466   2.247 0.024664 *  
otherplans2      0.312531   0.353611   0.884 0.376790    
foreign          1.175796   0.594435   1.978 0.047928 *  
---
Signif. codes:  0 ¡®***¡¯ 0.001 ¡®**¡¯ 0.01 ¡®*¡¯ 0.05 ¡®.¡¯ 0.1 ¡® ¡¯ 1

(Dispersion parameter for binomial family taken to be 1)

    Null deviance: 1221.7  on 999  degrees of freedom
Residual deviance:  995.5  on 983  degrees of freedom
AIC: 1029.5

Number of Fisher Scoring iterations: 5

# Unavailable explanatory valiables : installment



Call:
glm(formula = Default ~ checkingstatus1 + checkingstatus2 + checkingstatus3 + 
    duration + history1 + history2 + history3 + history4 + others1 + 
    others2 + otherplans1 + otherplans2 + foreign, family = "binomial", 
    data = german)

Deviance Residuals: 
    Min       1Q   Median       3Q      Max  
-1.9586  -0.7951  -0.4507   0.9188   2.5972  

Coefficients:
                 Estimate Std. Error z value Pr(>|z|)    
(Intercept)     -5.552233   0.728531  -7.621 2.51e-14 ***
checkingstatus1  1.976201   0.209338   9.440  < 2e-16 ***
checkingstatus2  1.440962   0.211121   6.825 8.78e-12 ***
checkingstatus3  0.806632   0.353989   2.279 0.022685 *  
duration         0.032414   0.006404   5.061 4.16e-07 ***
history1         1.542602   0.398488   3.871 0.000108 ***
history2         1.259669   0.371248   3.393 0.000691 ***
history3         0.645282   0.196067   3.291 0.000998 ***
history4         0.516589   0.307164   1.682 0.092608 .  
others1          1.037122   0.391970   2.646 0.008147 ** 
others2          1.619915   0.527498   3.071 0.002134 ** 
otherplans1      0.489889   0.221536   2.211 0.027013 *  
otherplans2      0.358511   0.351065   1.021 0.307155    
foreign          1.244905   0.591975   2.103 0.035469 *  
---
Signif. codes:  0 ¡®***¡¯ 0.001 ¡®**¡¯ 0.01 ¡®*¡¯ 0.05 ¡®.¡¯ 0.1 ¡® ¡¯ 1

(Dispersion parameter for binomial family taken to be 1)

    Null deviance: 1221.7  on 999  degrees of freedom
Residual deviance: 1001.1  on 986  degrees of freedom
AIC: 1029.1

Number of Fisher Scoring iterations: 5
